bed,row,col,Unique.ID,phen,total. branch,diam.mm,height. cm,overhd. diam,overhd. perp,num. flw,num. fruit,long.fruit .cm,survey.date,collected.date,survey.notes
C,1,A,buffer,,,,,,,,,,,,
C,1,B,buffer,,,,,,,,,,,,
C,2,A,buffer,,,,,,,,,,,,
C,2,B,buffer,,,,,,,,,,,,
C,3,A,buffer,,,,,,,,,,,,
C,3,B,buffer,,,,,,,,,,,,
C,4,A,2566,,,,,,,,,,,,
C,4,B,2595,,,,,,,,,,,,
C,5,A,2642,,,,,,,,,,,,
C,5,B,buffer,,,,,,,,,,,,
C,6,A,2509,,,,,,,,,,,,
C,6,B,2549,V,1,3.36,1.5,N/A,N/A,0,0,N/A,10/20/25,,
C,7,A,2452,,,,,,,,,,,,
C,7,B,2095,V,1,2.46,4.2,6.3,4.7,0,0,N/A,10/20/25,,
C,8,A,2291,V,1,3.54,5.6,1,0.9,0,0,N/A,10/20/25,,
C,8,B,2252,V,1,3.24,5.5,4.2,2.1,0,0,N/A,10/20/25,,
C,9,A,NA,,,,,,,,,,,,
C,9,B,2634,V,1,2.71,11.2,1.7,0.7,0,0,N/A,10/20/25,,
C,10,A,2466,,,,,,,,,,,,
C,10,B,2302,X,,,,,,,,,10/20/25,,
C,11,A,2338,,,,,,,,,,,,
C,11,B,2605,X,,,,,,,,,10/20/23,,
C,12,A,2326,V,1,2.17,5.3,3.2,1.7,0,0,N/A,10/20/25,,
C,12,B,1819,V,1,4.23,2.7,N/A,N/A,0,0,N/A,10/20/25,,
C,13,A,2520,,,,,,,,,,,,
C,13,B,2591,V,1,2.48,4.6,1,0.5,0,0,N/A,10/20/23,,
C,14,A,2150,,,,,,,,,,,,
C,14,B,1915,,,,,,,,,,,,
C,15,A,2472,V,1,2.35,3.2,N/A,N/A,0,0,N/A,10/20/25,,
C,15,B,1981,V,1,2.35,0.4,N/A,N/A,0,0,N/A,10/20/25,,
C,16,A,2023,,,,,,,,,,,,
C,16,B,1908,,,,,,,,,,,,
C,17,A,1787,,,,,,,,,,,,
C,17,B,2274,,,,,,,,,,,,
C,18,A,2090,,,,,,,,,,,,
C,18,B,1883,V,1,3.08,2.1,N/A,N/A,0,0,N/A,10/20/25,,
C,19,A,2063,V,1,3.21,4.3,0.6,0.9,0,0,N/A,10/20/25,,
C,19,B,2236,V,1,2.72,5.3,1.3,0.3,0,0,N/A,10/20/25,,
C,20,A,2592,X,,,,,,,,,10/20/25,,
C,20,B,2213,V,1,3.31,7.2,2.9,3.8,0,0,N/A,10/20/25,,
C,21,A,2370,X,,,,,,,,,10/20/25,,
C,21,B,698,P,1,2.89,,,,0,30,6.7,8/7/25,8/7/25. 8/14/25,8/7 collected 8 fruits. 8/14 collected 2 fruits
C,22,A,2638,V,1,2.03,8.3,N/A,N/A,0,0,N/A,10/20/25,,
C,22,B,buffer,,,,,,,,,,,,
C,23,A,2489,V,1,1.82,1.2,N/A,N/A,0,0,N/A,10/20/25,,
C,23,B,2564,V,1,3.1,0.8,N/A,N/A,0,0,N/A,10/20/25,,
C,24,A,buffer,,,,,,,,,,,,
C,24,B,118,P,1,1.78,,,,0,27,5.2,8/7/25,8/14/25,8/14 collected 10 frts
C,25,A,2505,V,1,1.02,2.4,N/A,N/A,0,0,N/A,10/20/25,,
